date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:05	40064/40064	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jan%202020%2009:23:02%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/courses2-1.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/courses2-1.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:06	33511/33511	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jan%202020%2009:23:28%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/courses2-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/courses2-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:06	23139/23139	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jan%202020%2009:23:52%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/courses2-3.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/courses2-3.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:06	27466/27466	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2005:03:56%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/courses2-4.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/courses2-4.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:07	3435/3435	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jan%202020%2009:37:26%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/quota-2.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/quota-2.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:07	72257/72257	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jan%202020%2009:42:14%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/testimonial-1.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/testimonial-1.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:07	49850/49850	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jan%202020%2011:06:26%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/about-6.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/about-6.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:08	56359/56359	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2005:02:39%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/event-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/event-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:08	2597/2597	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2004:15:34%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/mail-2.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/mail-2.png	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:09	5529/5529	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2005:11:48%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/logo-2.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/logo-2.png	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
